Category	Number of Reads	Percent of Total	Percent of Section
A5-C10	537	0.00014783340034701207	0.15239316869952155
B9-C10	998	0.00027474438276781755	0.2832185891287197
A1-A2	220	6.0564893996913694e-05	0.062432955519357056
C1-C9	135	3.716482131628795e-05	0.0383111317959691
A5-C4	972	0.00026758671347727324	0.2758401489309775
A10-A8	225	6.194136886047992e-05	0.06385188632661518
C9-A1	177	4.87272101702442e-05	0.05023015057693727
A1-B4	209	5.753664929706801e-05	0.059311307743389205
A2-A11	294	8.093672197769376e-05	0.08343313146677715
C4-C2	973	0.0002678620084499865	0.2761239350924291
B10-B1	660	0.0001816946819907411	0.18729886655807115
C10-A8	873	0.0002403325111786621	0.24774531894726687
A8-C10	615	0.00016930640821864512	0.1745284892927481
C2-C1	380	0.00010461208963103275	0.10783874135161674
A11-A10	564	0.00015526636461026967	0.16005539505871536
B3-A5	913	0.00025134431008719184	0.2590967654053318
A12-A11	101	2.7804792244037653e-05	0.02866240230661392
A11-C2	232	6.386843366947263e-05	0.06583838945677653
A1-C9	219	6.028959902420045e-05	0.062149169357905425
A8-B8	113	3.110833191659658e-05	0.03206783624403339
C4-A5	920	0.0002532713748961845	0.26108326853549313
B9-A5	158	4.3496605688692565e-05	0.044838213509356434
A3-A11	388	0.0001068144494127387	0.11010903064322972
A5-A7	62	1.706828830822113e-05	0.017594742010000625
B1-A11	363	9.99320750949076e-05	0.10301437660693914
B9-A1	231	6.359313869675939e-05	0.0655546032953249
A12-C4	320	8.80943912682381e-05	0.09081157166451935
C1-A11	117	3.220951180744956e-05	0.03320298088983988
C10-A11	1144	0.00031493744878395124	0.3246513687006567
C4-B4	992	0.0002730926129315381	0.28151587216001
B4-C9	179	4.9277800115670695e-05	0.05079772289984052
C4-A12	493	0.00013572042154762933	0.13990657759565012
A11-A8	244	6.717197334203155e-05	0.069243823394196
A7-C3	53	1.4590633553801934e-05	0.01504066655693602
B7-A10	471	0.00012966393214793796	0.13366328204371442
A8-B7	198	5.450840459722233e-05	0.05618965996742135
A10-C10	724	0.0001993135602443887	0.20546118089097504
